Bee_ID,Birthdate,Birthweight,Source_colony,NP_observations,Sociality,NonsocNonact,NPWA,NPAQ,NPGO,NPGS,NPTR,NPBE,NPAD,NPVI,NPBC,NPIN,Forage_date,Forage_age,AFF_week,GRS_score,GRS_low,Date_fMR,Age_fMR,Mass_fMR,Date_sMR,Age_sMR,Mass_sMR,RMRMeanstable2min,RMRSDstable2min,RMRMeanlowregion,RMRSDlowregion,RMRMeanlow120,RMRSDlow120,RMRMeanpeak,RMRSDpeak,RMRMeanvalley,RMRSDvalley,RMRMeanperiod,RMRSDperiod,RMRNumberpeaks,Meanallflight,SDallflight,Maxallflight,Meancontig,SDcontig,Maxcontig,Lengthcontig,Meanstable1min,SDstable1min,Maxstable1min,Meanhigh1min,SDhigh1min,Maxhigh1min,Meanhighest120,SDhighest120,Maxhighest120,Date_death,Days_captivity,Age_death,longevity,RMRwcjoule,FMRwcjoule,RMR,RMRpeak,FMR,RMR34,FMR34,Conswc2,ConsJ,ConsJhr,ConsmWwc2,massbal,MB,wt_birthtofMR,RMR2,FMR2,ConsmWwc22,SharefedT1_5ave2,NPBC2,Sociality2,NPWA2,NonsocNonact2,wt_birthtofMR22,wt_birthtofMR2,Birthweight2,longevity2,Forage_age2,AFF_group22,RMR2,FMR2,ConsmWwc22,NPBC2,Sociality2,NPWA2,NonsocNonact2,Birthweight2,longevity2,Forage_age2,AFF_group22
G46,6/11/2018,0.1282,LAP_3,15,0.072,0.262,0.401,0,0.072,0.068,0,0,0,0,0.265,0.194,6/20/2018,9,2,7,1,6/27/2018,16,0.0764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422.4531803,50.00731301,531.3927944,438.1514285,23.93740397,531.3927944,222,425.2172901,10.79462337,458.6321846,451.9164893,19.81068429,477.0452378,467.2561953,12.83545945,531.3927944,7/7/2018,0,26,NA,NA,1191.053666,NA,NA,330.8482406,NA,173.9410827,NA,NA,NA,NA,NA,NA,0.0518,NA,33.08482406,NA,NA,26.5,7.2,40.1,26.2,1.0518,5.18,12.82,NA,9,4,NA,33.08482406,NA,26.5,7.2,40.1,26.2,12.82,NA,9,4
G49,6/11/2018,0.1253,LAP_3,14,0,0.369,0.217,0,0,0.303,0,0,0,0,0.414,0.066,6/27/2018,16,3,6,3,7/5/2018,24,0.1354,7/6/2018,25,0.1421,31.47037907,4.706204088,19.21489114,9.849617345,20.89551909,2.846475583,39.64150938,8.993282037,20.34589408,5.74734388,22.25,8.507030341,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.36917802,NA,8.435882783,17.40374817,NA,5.117233127,NA,0.400910879,271.9594983,11.33164576,23.24726277,14.81137998,Positive,-0.0101,0.843588278,NA,2.324726277,0.404333333,41.4,0,21.7,36.9,0.9899,-1.01,12.53,NA,16,9,0.843588278,NA,2.324726277,41.4,0,21.7,36.9,12.53,NA,16,9
G7,6/11/2018,0.1036,LAP_3,13,0,0.304,0.169,0,0,0.073,0,0,0,0,0.527,0.231,7/2/2018,21,3,3,5,7/7/2018,26,0.0854,7/8/2018,27,0.1,159.5235908,50.8435165,143.134024,56.67391038,83.86816352,22.04829762,263.4761995,93.42924299,138.1487156,87.2155012,34.33333333,22.84731932,10,857.7970653,70.89404037,1199.490985,886.9442205,65.06302208,1199.490985,143,918.7246058,17.06367893,956.2156476,930.0170495,55.12534121,1199.490985,934.7353016,52.13102263,1199.490985,7/17/2018,9,36,36,358.6730812,2302.190464,99.63141145,183.3980832,639.4973512,53.85930569,345.7030551,0.52763466,225.7506,9.406275,30.59548205,-69.0359294,Negative,0.0182,9.963141145,63.94973512,3.059548205,NA,52.7,0,16.9,30.4,1.0182,1.82,10.36,36,21,9,9.963141145,63.94973512,3.059548205,52.7,0,16.9,30.4,10.36,36,21,9
GO1,6/25/2018,0.0993,LAP_1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/9/2018,14,2,NA,NA,NA,NA,0.0993,26-Jul,31,0.0993,64.26169729,12.49681566,42.71997238,13.51993246,32.44288589,7.164941389,72.4549227,18.1990873,39.757131,16.44929232,26.81818182,8.692734688,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.06519727,NA,25.57366591,43.37404458,NA,14.35589587,NA,NA,NA,NA,NA,NA,NA,0,2.557366591,NA,NA,1.876333333,NA,NA,NA,NA,1,0,9.93,NA,14,4,2.557366591,NA,NA,NA,NA,NA,NA,9.93,NA,14,4
GO10,6/25/2018,0.1084,LAP_1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/6/2018,11,2,NA,NA,7/16/2018,21,0.0858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659.0070429,92.31333279,771.2520504,659.0070429,92.31333279,771.2520504,190,745.8488036,17.32422213,771.2520504,745.8488036,17.32422213,771.2520504,746.8329866,16.12415452,771.2520504,NA,NA,NA,NA,NA,1860.275571,NA,NA,516.7432141,NA,279.6704648,NA,NA,NA,NA,NA,NA,0.0226,NA,51.67432141,NA,NA,NA,NA,NA,NA,1.0226,2.26,10.84,NA,11,4,NA,51.67432141,NA,NA,NA,NA,NA,10.84,NA,11,4
GO11,6/25/2018,0.1169,LAP_1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/9/2018,14,2,NA,NA,NA,NA,0.0849,30-Jul,35,0.0849,36.16374358,4.121371183,8.745224257,6.077007673,6.251837426,2.059940497,34.07013922,14.7020435,18.2471739,13.43843163,22.6875,6.041178141,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.04332145,NA,6.123144847,23.85489397,NA,3.305228247,NA,NA,NA,NA,NA,NA,NA,0.032,0.612314485,NA,NA,0.241666667,NA,NA,NA,NA,1.032,3.2,11.69,NA,14,4,0.612314485,NA,NA,NA,NA,NA,NA,11.69,NA,14,4
GO12,6/25/2018,0.1083,LAP_1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/18/2018,23,4,NA,NA,NA,NA,0.0936,26-Jul,31,0.0936,55.29422357,6.487682979,53.4897041,7.228791415,48.03397788,3.524578147,87.97124599,33.87355482,56.2039403,24.23675427,33.81818182,20.52227172,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.2948363,NA,33.97078786,55.86967783,NA,18.78990487,NA,NA,NA,NA,NA,NA,NA,0.0147,3.397078786,NA,NA,6,NA,NA,NA,NA,1.0147,1.47,10.83,NA,23,16,3.397078786,NA,NA,NA,NA,NA,NA,10.83,NA,23,16
GO15,6/25/2018,0.1037,LAP_1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/18/2018,23,4,NA,NA,NA,NA,0.1953,30-Jul,35,0.1953,203.6922508,17.97028649,130.9829006,71.50396208,90.46604084,35.55152099,202.1186848,39.58918263,131.4797663,39.76424921,22.6,11.23642038,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.5245301,NA,39.86792503,61.51988187,NA,26.50325369,NA,NA,NA,NA,NA,NA,NA,-0.0916,3.986792503,NA,NA,0.529333333,NA,NA,NA,NA,0.9084,-9.16,10.37,NA,23,16,3.986792503,NA,NA,NA,NA,NA,NA,10.37,NA,23,16
GO16,6/25/2018,0.1011,LAP_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/18/2018,23,4,NA,NA,NA,NA,0.0889,26-Jul,31,0.0889,46.25611248,12.11621368,34.46629116,14.24246089,20.26097909,5.183624784,71.0636721,11.7374941,18.7366952,7.080235296,21.9047619,8.111132855,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.96722506,NA,23.04645141,47.51789098,NA,12.58431279,NA,NA,NA,NA,NA,NA,NA,0.0122,2.304645141,NA,NA,0.252,NA,NA,NA,NA,1.0122,1.22,10.11,NA,23,16,2.304645141,NA,NA,NA,NA,NA,NA,10.11,NA,23,16
GO28,6/25/2018,0.1007,LAP_1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/5/2018,10,2,3,5,7/5/2018,10,0.1244,7/6/2018,11,0.1332,97.4581854,15.09739938,67.19883643,24.4908779,54.72841659,15.20943277,147.3373078,46.50497789,95.87228534,45.07220248,25.66666667,13.15113611,16,898.6640158,57.06951524,980.5058355,927.8775114,25.91044804,975.9274719,183,924.8963508,7.809990263,940.0723194,954.77299,11.22051969,975.9274719,956.4052109,9.311379128,975.9274719,8/8/2018,NA,44,NA,115.5992845,1591.059639,32.11091237,70.40501936,441.9610108,19.07030946,262.4756702,0.400321543,249.498,10.39575,23.2130895,-8.897822874,Negative,-0.0237,3.211091237,44.19610108,2.32130895,5.248333333,NA,NA,NA,NA,0.9763,-2.37,10.07,NA,10,4,3.211091237,44.19610108,2.32130895,NA,NA,NA,NA,10.07,NA,10,4
GO34,6/25/2018,0.1063,LAP_1,15,0,0.274,0.264,0,0,0.068,0,0,0,0,0.462,0.206,7/10/2018,15,3,NA,NA,NA,NA,0.1142,2-Aug,38,0.1142,10.1294956,6.55367074,8.105873174,7.200549905,2.137277964,1.213239563,29.5294891,10.02666073,0.917758141,1.790946633,32.63636364,8.88000819,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.18963975,NA,4.219344374,15.37096387,NA,2.452796394,NA,NA,NA,NA,NA,NA,NA,-0.0079,0.421934437,NA,NA,0.843,46.2,0,26.4,27.4,0.9921,-0.79,10.63,NA,15,9,0.421934437,NA,NA,46.2,0,26.4,27.4,10.63,NA,15,9
GO37,6/25/2018,0.1177,LAP_1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/29/2018,4,1,2,5,7/5/2018,10,0.0926,7/6/2018,11,0.1431,127.7753483,25.66499306,126.9915127,31.30221754,106.7040116,9.15057485,200.1470703,52.85529418,111.1316555,19.4730554,33.2,13.09622507,11,771.2365253,53.63073032,850.0542914,739.3171561,41.12219993,822.5685252,94,756.1052814,23.8151106,791.2253086,760.4075304,25.89913554,822.5685252,763.1462547,22.70168649,822.5685252,7/8/2018,2,13,NA,293.4793058,1747.370737,81.52202939,128.4841404,485.3807602,44.97050132,267.753591,0.671706263,311.622,12.98425,38.94963403,-42.57239536,Negative,0.0251,8.152202939,48.53807602,3.894963403,NA,NA,NA,NA,NA,1.0251,2.51,11.77,NA,4,1,8.152202939,48.53807602,3.894963403,NA,NA,NA,NA,11.77,NA,4,1
GO39,6/25/2018,0.1109,LAP_1,14,0.129,0.22,0.151,0,0.129,0.149,0,0,0,0,0.5,0.071,7/9/2018,14,2,NA,NA,NA,NA,0.1066,30-Jul,35,0.1066,37.06945809,10.16156925,12.8943974,25.24486464,4.388145195,1.899846424,68.77341917,23.24855046,13.04143571,7.377534155,24.46153846,11.35499438,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.88556326,NA,7.190434239,38.35082266,NA,4.10860528,NA,NA,NA,NA,NA,NA,NA,0.0043,0.719043424,NA,NA,6,50,12.9,15.1,22,1.0043,0.43,11.09,NA,14,4,0.719043424,NA,NA,50,12.9,15.1,22,11.09,NA,14,4
GO5,6/25/2018,0.1293,LAP_1,16,0,0.261,0.177,0,0,0.068,0,0,0,0,0.562,0.193,7/10/2018,15,3,NA,NA,7/16/2018,21,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.5587707,84.31419191,827.098409,720.5587707,84.31419191,827.098409,171,792.7702855,23.81631729,827.098409,792.7702855,23.81631729,827.098409,798.1981661,15.86154466,827.098409,NA,NA,NA,NA,NA,1804.817458,NA,NA,501.3381829,NA,277.5957073,NA,NA,NA,NA,NA,NA,0.0353,NA,50.13381829,NA,NA,56.2,0,17.7,26.1,1.0353,3.53,12.93,NA,15,9,NA,50.13381829,NA,56.2,0,17.7,26.1,12.93,NA,15,9
GO55,6/25/2018,0.1233,LAP_1,15,0.199,0.343,0.138,0,0,0.069,0.199,0,0,0,0.32,0.274,7/10/2018,15,3,NA,NA,NA,NA,0.1338,18-Jul,23,0.1338,38.99434936,12.18881131,19.0132434,22.48042583,5.392752796,2.644875517,71.97511379,21.36550388,7.294741634,9.205039313,27.41666667,10.29105423,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/19/2018,1,24,NA,30.40982128,NA,8.447172578,31.97698545,NA,5.108876395,NA,0.436472347,292.584,12.191,25.309334,16.86216142,Positive,-0.0105,0.844717258,NA,2.5309334,NA,32,19.9,13.8,34.3,0.9895,-1.05,12.33,NA,15,9,0.844717258,NA,2.5309334,32,19.9,13.8,34.3,12.33,NA,15,9
GO56,6/25/2018,0.1096,LAP_1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/13/2018,18,3,NA,NA,NA,NA,0.1261,1-Aug,37,0.1261,11.36132032,13.13545512,11.25918286,13.86857648,3.413098208,1.531532522,45.67882167,18.53271975,1.58206326,1.908831738,32.36363636,9.594506004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1075744,NA,5.307659556,21.53332416,NA,3.162873556,NA,NA,NA,NA,NA,NA,NA,-0.0165,0.530765956,NA,NA,4.725666667,NA,NA,NA,NA,0.9835,-1.65,10.96,NA,18,9,0.530765956,NA,NA,NA,NA,NA,NA,10.96,NA,18,9
GO57,6/25/2018,0.1289,LAP_1,14,0,0.435,0.078,0,0,0.303,0,0,0,0,0.487,0.132,7/26/2018,31,4,NA,NA,NA,NA,0.1289,26-Jul,31,0.1289,60.22526393,13.8689962,38.95947397,18.95018878,24.93072257,7.459371278,82.18649317,9.308877746,23.89994983,13.35252638,22.65217391,8.488541451,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.68058518,NA,17.96682922,37.90171006,NA,10.76551149,NA,NA,NA,NA,NA,NA,NA,0,1.796682922,NA,NA,2.302333333,48.7,0,7.8,43.5,1,0,12.89,NA,31,16,1.796682922,NA,NA,48.7,0,7.8,43.5,12.89,NA,31,16
GO58,6/25/2018,0.1168,LAP_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/26/2018,31,4,NA,NA,NA,NA,0.1301,26-Jul,31,0.1301,25.98204735,22.25452724,25.85936492,22.51279868,5.223857928,3.746641723,97.529871,45.94381007,8.864891284,11.44603969,22.23529412,9.769400006,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5357732,NA,11.81549255,44.56271328,NA,7.096123332,NA,NA,NA,NA,NA,NA,NA,-0.0133,1.181549255,NA,NA,5.751,NA,NA,NA,NA,0.9867,-1.33,11.68,NA,31,16,1.181549255,NA,NA,NA,NA,NA,NA,11.68,NA,31,16
GO68,6/25/2018,0.1147,LAP_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/9/2018,14,2,NA,NA,NA,NA,0.0853,30-Jul,35,0.0853,4.622106838,1.958670521,4.533742023,1.975859902,2.770035617,1.292693565,22.57849396,24.22760769,2.016783505,2.517154252,25.13333333,10.92092792,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.37421797,NA,3.159504992,15.73465451,NA,1.707482667,NA,NA,NA,NA,NA,NA,NA,0.0294,0.315950499,NA,NA,NA,NA,NA,NA,NA,1.0294,2.94,11.47,NA,14,4,0.315950499,NA,NA,NA,NA,NA,NA,11.47,NA,14,4
GO85,6/25/2018,0.1161,LAP_1,13,0.156,0.307,0.225,0,0.156,0.153,0,0,0,0,0.312,0.154,7/5/2018,21,3,2,5,7/5/2018,10,0.0926,26-Jul,31,NA,29.80150605,9.762353124,12.40996069,15.19310854,4.836929401,2.169871977,46.03452824,18.30283745,9.902649301,7.572937385,22.35294118,9.116888014,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/8/2018,0,13,NA,28.67960678,NA,7.966557438,29.55180299,NA,4.394641356,NA,NA,NA,NA,NA,NA,NA,0.0235,0.796655744,NA,NA,0.696666667,31.2,15.6,22.5,30.7,1.0235,2.35,11.61,NA,21,9,0.796655744,NA,NA,31.2,15.6,22.5,30.7,11.61,NA,21,9
GO87,6/25/2018,0.0991,LAP_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/11/2018,16,3,NA,NA,NA,NA,0.1189,1-Aug,37,0.1189,5.217073991,5.161848524,5.190657276,5.166904015,1.997049271,1.33992408,26.84470975,15.86543793,0.227711584,2.035148579,23.06666667,6.352352395,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.342309984,NA,2.595086107,13.42110057,NA,1.523867603,NA,NA,NA,NA,NA,NA,NA,-0.0198,0.259508611,NA,NA,0.865,NA,NA,NA,NA,0.9802,-1.98,9.91,NA,16,9,0.259508611,NA,NA,NA,NA,NA,NA,9.91,NA,16,9
GO92,6/25/2018,0.1119,LAP_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/13/2018,18,3,NA,NA,NA,NA,0.1101,26-Jul,31,0.1101,61.78087365,8.572871949,58.91541258,3,51.48037954,4.445920651,80.85340344,11.34054657,52.6839703,9.497606624,33.90909091,16.15830774,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.5131543,NA,31.80920954,43.65382061,NA,18.32313185,NA,NA,NA,NA,NA,NA,NA,0.0018,3.180920954,NA,NA,0.975666667,NA,NA,NA,NA,1.0018,0.18,11.19,NA,18,9,3.180920954,NA,NA,NA,NA,NA,NA,11.19,NA,18,9
GO98,6/25/2018,0.1103,LAP_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/10/2018,15,3,NA,NA,NA,NA,0.1103,26-Jul,31,0.1103,32.3120779,5.19514847,28.96733925,5.661194363,23.57602859,2.220757135,42.54938769,5.223497828,22.97973635,3.215304662,27,14.38749457,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.20136536,NA,15.61149038,22.93132106,NA,8.996803681,NA,NA,NA,NA,NA,NA,NA,0,1.561149038,NA,NA,5.071,NA,NA,NA,NA,1,0,11.03,NA,15,9,1.561149038,NA,NA,NA,NA,NA,NA,11.03,NA,15,9
O12,6/4/2018,0.1119,LAP_2,22,0.095,0.398,0.091,0,0.095,0.129,0,0,0,0,0.416,0.269,6/11/2018,7,1,NA,NA,6/14/2018,10,0.0831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370.1400995,170.2969134,602.097218,393.3597769,161.0393884,602.097218,180,566.9036075,25.34881438,602.097218,566.9036075,25.34881438,602.097218,567.8990944,24.37614959,602.097218,7/8/2018,0,34,NA,NA,1459.896173,NA,NA,405.5267148,NA,217.7307284,NA,NA,NA,NA,NA,NA,0.0288,NA,40.55267148,NA,NA,41.6,9.5,9.1,39.8,1.0288,2.88,11.19,NA,7,1,NA,40.55267148,NA,41.6,9.5,9.1,39.8,11.19,NA,7,1
O19,6/4/2018,0.112,LAP_2,12,0.163,0.085,0.415,0,0.163,0.085,0,0,0,0,0.337,0,6/11/2018,7,1,7,1,6/25/2018,21,0.1074,6/26/2018,22,0.1112,96.44666608,6.782345624,83.30311736,9.525486759,90.11894684,4.940897886,121.5323576,13.81722121,92.84125884,11.53460004,22.38461538,10.72968564,27,638.9936718,146.3455282,940.2247808,693.5058941,110.0303608,940.2247808,111,760.36704,41.23623413,812.8443582,776.889538,42.59129354,940.2247808,778.0239535,42.01110593,940.2247808,7/9/2018,13,35,35,165.9857273,1515.070266,46.10714648,67.26651285,420.8528516,26.39485712,240.9247098,0.518505587,278.994375,11.62476563,30.06612256,-16.04102392,Negative,0.0046,4.610714648,42.08528516,3.006612256,NA,33.7,16.3,41.5,8.5,1.0046,0.46,11.2,35,7,1,4.610714648,42.08528516,3.006612256,33.7,16.3,41.5,8.5,11.2,35,7,1
O2,6/4/2018,0.1172,LAP_2,17,0,0.419,0.242,0,0,0.11,0,0,0,0,0.339,0.309,6/11/2018,7,1,8,1,6/27/2018,23,0.0898,6/28/2018,24,0.1294,67.57515149,18.66000528,57.38803397,19.71782587,54.40727473,11.0226792,154.1358735,79.53904532,74.40122744,35.94890804,31.23076923,9.558188864,14,856.016988,91.02653334,1014.077518,841.3230597,101.5805198,990.9362978,147,934.6844661,37.57923945,990.9362978,934.6844661,37.57923945,990.9362978,938.036729,33.74623812,990.9362978,7/7/2018,9,33,33,136.7599028,2227.421779,37.98886188,102.032532,618.7282719,20.7957873,338.7030014,1.082683742,487.09725,20.29571875,62.78061974,24.79175786,Positive,0.0274,3.798886188,61.87282719,6.278061974,NA,33.9,0,24.2,41.9,1.0274,2.74,11.72,33,7,1,3.798886188,61.87282719,6.278061974,33.9,0,24.2,41.9,11.72,33,7,1
O23,6/4/2018,0.1184,LAP_2,17,0.055,0.597,0.232,0,0.055,0.117,0,0,0,0,0.116,0.48,6/11/2018,7,1,8,1,6/21/2018,17,0.1208,6/22/2018,18,0.0758,120.0081592,12.60835844,70.92035072,31.56509734,58.77154144,17.5869206,169.1278958,110.9411056,78.68484987,27.62343514,36.08333333,26.94593352,13,705.4740148,107.5109857,1056.291097,585.0842701,79.14998456,769.5500038,64,591.067215,76.13728059,769.5500038,591.067215,76.13728059,769.5500038,593.6411249,74.14658189,769.5500038,NA,NA,NA,NA,125.6370451,1047.089272,34.89917921,83.22610766,290.858131,20.57462586,171.4738673,NA,NA,NA,NA,NA,NA,-0.0024,3.489917921,29.0858131,NA,NA,11.6,5.5,23.2,59.7,0.9976,-0.24,11.84,NA,7,1,3.489917921,29.0858131,NA,11.6,5.5,23.2,59.7,11.84,NA,7,1
O37,6/4/2018,0.121,LAP_2,14,0.136,0.297,0.348,0,0.072,0.228,0.064,0,0,0,0.219,0.069,6/18/2018,14,2,8,1,6/19/2018,15,0.1191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860.1815407,93.93281887,983.9032546,889.3721786,59.70781738,983.9032546,217,911.8395026,11.64517588,934.9012894,932.5408746,22.91429036,983.9032546,942.8050575,12.37271856,983.9032546,6/19/2018,0,15,NA,NA,1638.401793,NA,NA,455.1116092,NA,267.359644,NA,NA,NA,NA,NA,NA,0.0019,NA,45.51116092,NA,NA,21.9,13.6,34.8,29.7,1.0019,0.19,12.1,NA,14,4,NA,45.51116092,NA,21.9,13.6,34.8,29.7,12.1,NA,14,4
O39,6/4/2018,0.1079,LAP_2,17,0,0.351,0.224,0,0,0.232,0,0,0,0,0.425,0.119,6/20/2018,16,3,3,5,6/21/2018,17,0.0933,6/22/2018,18,0.1235,137.4351317,6.830406734,64.29900802,10.83913207,57.63011258,4.959896736,122.8187266,36.83807817,90.6180238,42.80359858,40.54545455,21.5423473,12,822.1733776,159.9254411,1984.090888,867.2425559,157.1567141,1984.090888,149,896.2498356,34.02416347,1085.43463,964.257049,192.7653162,1984.090888,966.6764038,193.6032462,1984.090888,7/5/2018,13,31,31,147.4811116,2055.707018,40.96697546,78.25177889,571.0297273,22.64145397,315.594284,0.614913494,287.4308593,11.9762858,35.65644219,-5.310533263,Negative,0.0146,4.096697546,57.10297273,3.565644219,NA,42.5,0,22.4,35.1,1.0146,1.46,10.79,31,16,9,4.096697546,57.10297273,3.565644219,42.5,0,22.4,35.1,10.79,31,16,9
O41,6/4/2018,0.1187,LAP_2,20,0.094,0.321,0.258,0,0.047,0.178,0.047,0,0,0,0.327,0.143,6/13/2018,9,2,3,5,7/5/2018,31,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586.1093769,105.2186848,705.9772609,586.1093769,105.2186848,705.9772609,147,680.4005223,17.32960138,705.9772609,680.4005223,17.32960138,705.9772609,681.2608591,16.30984339,705.9772609,7/5/2018,0,31,NA,NA,1820.071397,NA,NA,505.5753881,NA,268.8799512,NA,NA,NA,NA,NA,NA,0.0387,NA,50.55753881,NA,NA,32.7,9.4,25.8,32.1,1.0387,3.87,11.87,NA,9,4,NA,50.55753881,NA,32.7,9.4,25.8,32.1,11.87,NA,9,4
O43,6/4/2018,0.1243,LAP_2,22,0.075,0.27,0.235,0,0.041,0.13,0.034,0,0,0,0.42,0.14,6/11/2018,7,1,2,8,6/25/2018,21,0.0961,6/26/2018,22,0.1179,31.24241888,12.47070767,23.28352912,17.30250678,13.65136422,6.150544701,59.34000177,10.19148677,14.78353275,7.990302216,19.21052632,7.138152168,20,644.7984186,145.6665917,1073.739727,873.0491292,89.19549848,1073.739727,38,873.0491292,89.19549848,1073.739727,873.0491292,89.19549848,1073.739727,873.0491292,89.19549848,1073.739727,7/10/2018,14,36,36,51.84885777,1944.146864,14.40246049,36.70586304,540.0407956,8.018950626,300.6819896,0.859001041,413.5755,17.2323125,49.81012978,35.40766929,Positive,0.0282,1.440246049,54.00407956,4.981012978,NA,42,7.5,23.5,27,1.0282,2.82,12.43,36,7,1,1.440246049,54.00407956,4.981012978,42,7.5,23.5,27,12.43,36,7,1
O45,6/4/2018,0.1127,LAP_2,20,0.14,0.387,0.157,0,0.091,0.104,0.049,0,0,0,0.316,0.283,6/18/2018,14,2,4,1,6/19/2018,15,0.0898,6/20/2018,16,0.1068,28.95009579,6.292841496,28.95009579,6.292841496,22.21208326,2.937887801,59.21581429,36.26422414,20.94677599,5.162629233,28.0625,14.20548603,17,693.6486674,114.9084562,856.3941716,752.7577823,99.40821176,856.3941716,101,818.5392034,21.56064106,856.3941716,818.5392034,21.56064106,856.3941716,819.3136342,20.86949545,856.3941716,6/24/2018,4,20,20,68.990206,1950.639082,19.16394611,39.19878823,541.8441893,10.49068931,296.6152696,NA,NA,NA,NA,NA,NA,0.0229,1.916394611,54.18441893,NA,NA,31.6,14,15.7,38.7,1.0229,2.29,11.27,20,14,4,1.916394611,54.18441893,NA,31.6,14,15.7,38.7,11.27,20,14,4
O47,6/4/2018,0.1262,LAP_2,15,0,0.206,0.335,0,0,0.13,0,0,0,0,0.459,0.076,6/11/2018,7,1,4,1,6/27/2018,23,0.0751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576.8140214,124.5582108,2190.706635,639.8090031,31.25549481,740.6360835,282,668.7583368,18.87060603,722.4440415,668.7583368,18.87060603,722.4440415,680.459824,18.16549508,740.6360835,6/24/2018,0,20,NA,NA,1905.649588,NA,NA,529.3471078,NA,277.1089347,NA,NA,NA,NA,NA,NA,0.0511,NA,52.93471078,NA,NA,45.9,0,33.5,20.6,1.0511,5.11,12.62,NA,7,1,NA,52.93471078,NA,45.9,0,33.5,20.6,12.62,NA,7,1
